Class names: malignant benign 

Feature names and their values:
     smoking = heavy medium light never 
     videoAddiction = none low medium heavy 
     fatIntake = low medium heavy 
     exercising = never occasionally regularly 


Training Data:

sample          class           exercising      fatIntake       smoking         videoAddiction  
================================================================================================
sample_0        benign          occasionally    low             never           heavy           
sample_1        benign          regularly       low             heavy           low             
sample_2        benign          regularly       medium          light           low             
sample_3        benign          regularly       low             heavy           medium          
sample_4        malignant       never           heavy           heavy           heavy           
sample_5        benign          regularly       medium          medium          none            
sample_6        malignant       never           heavy           heavy           heavy           
sample_7        benign          occasionally    medium          medium          heavy           
sample_8        benign          never           low             medium          low             
sample_9        benign          never           heavy           light           low             
sample_10       benign          occasionally    low             never           medium          
sample_11       malignant       never           heavy           heavy           heavy           
sample_12       malignant       never           heavy           heavy           none            
sample_13       benign          occasionally    medium          medium          low             
sample_14       benign          regularly       low             never           none            
sample_15       benign          never           medium          light           low             
sample_16       benign          occasionally    medium          light           medium          
sample_17       benign          occasionally    low             medium          low             
sample_18       malignant       never           heavy           light           medium          
sample_19       benign          regularly       heavy           never           medium          
sample_20       benign          occasionally    heavy           never           none            
sample_21       benign          occasionally    heavy           medium          heavy           
sample_22       benign          regularly       heavy           heavy           low             
sample_23       malignant       never           heavy           heavy           medium          
sample_24       benign          occasionally    heavy           heavy           medium          
sample_25       malignant       never           heavy           heavy           low             
sample_26       benign          occasionally    low             heavy           none            
sample_27       benign          occasionally    medium          medium          low             
sample_28       benign          never           low             medium          low             
sample_29       malignant       never           heavy           heavy           heavy           
sample_30       malignant       never           heavy           heavy           medium          
sample_31       malignant       never           heavy           heavy           heavy           
sample_32       benign          never           low             never           medium          
sample_33       benign          regularly       medium          never           none            
sample_34       benign          occasionally    low             medium          low             
sample_35       malignant       never           low             heavy           medium          
sample_36       benign          occasionally    medium          light           none            
sample_37       benign          occasionally    heavy           light           low             
sample_38       malignant       never           heavy           heavy           medium          
sample_39       benign          occasionally    medium          medium          medium          
sample_40       malignant       occasionally    heavy           heavy           low             
sample_41       malignant       never           heavy           never           none            
sample_42       benign          regularly       low             medium          heavy           
sample_43       malignant       never           heavy           heavy           low             
sample_44       malignant       never           heavy           heavy           medium          
sample_45       malignant       never           low             heavy           medium          
sample_46       benign          regularly       medium          light           low             
sample_47       benign          occasionally    medium          light           none            
sample_48       benign          occasionally    medium          heavy           low             
sample_49       benign          occasionally    low             light           none            
sample_50       malignant       never           heavy           heavy           medium          
sample_51       benign          occasionally    low             light           low             
sample_52       benign          regularly       heavy           light           medium          
sample_53       malignant       never           heavy           heavy           medium          
sample_54       benign          regularly       medium          medium          medium          
sample_55       benign          regularly       low             light           none            
sample_56       malignant       occasionally    heavy           heavy           none            
sample_57       benign          occasionally    low             medium          none            
sample_58       benign          regularly       medium          light           none            
sample_59       benign          regularly       low             light           medium          
sample_60       malignant       never           medium          medium          low             
sample_61       malignant       never           low             heavy           heavy           
sample_62       benign          regularly       heavy           never           medium          
sample_63       benign          regularly       medium          heavy           none            
sample_64       benign          occasionally    low             never           medium          
sample_65       malignant       never           heavy           heavy           heavy           
sample_66       benign          regularly       heavy           never           medium          
sample_67       malignant       never           heavy           heavy           heavy           
sample_68       malignant       regularly       heavy           heavy           low             
sample_69       malignant       never           heavy           heavy           none            
sample_70       benign          occasionally    medium          never           heavy           
sample_71       malignant       never           heavy           heavy           heavy           
sample_72       benign          regularly       medium          light           heavy           
sample_73       benign          never           medium          never           none            
sample_74       benign          occasionally    medium          heavy           low             
sample_75       benign          occasionally    medium          light           medium          
sample_76       malignant       never           heavy           heavy           heavy           
sample_77       benign          regularly       low             light           none            
sample_78       benign          never           medium          heavy           medium          
sample_79       benign          occasionally    low             light           low             
sample_80       benign          never           medium          medium          medium          
sample_81       benign          occasionally    low             never           heavy           
sample_82       benign          regularly       low             light           none            
sample_83       malignant       never           heavy           light           low             
sample_84       malignant       never           heavy           heavy           medium          
sample_85       malignant       never           heavy           heavy           low             
sample_86       malignant       never           heavy           heavy           none            
sample_87       benign          never           medium          never           medium          
sample_88       malignant       never           heavy           heavy           heavy           
sample_89       benign          occasionally    medium          light           heavy           
sample_90       malignant       never           heavy           heavy           low             
sample_91       benign          never           low             never           none            
sample_92       malignant       never           heavy           heavy           none            
sample_93       malignant       regularly       heavy           heavy           heavy           
sample_94       malignant       never           heavy           heavy           none            
sample_95       benign          regularly       medium          heavy           heavy           
sample_96       benign          regularly       low             medium          medium          
sample_97       benign          regularly       medium          medium          none            
sample_98       benign          occasionally    medium          light           medium          
sample_99       malignant       occasionally    heavy           heavy           low             
