Class names: malignant benign

Feature names and their values:
    videoAddiction => none low medium heavy
    exercising => never occasionally regularly
    smoking => heavy medium light never
    fatIntake => low medium heavy


Training Data:



sample           class            videoAddiction   exercising       smoking          fatIntake
======================================================================================================

sample_0         malignant        heavy            never            heavy            heavy
sample_1         benign           low              regularly        never            low
sample_2         benign           none             regularly        never            medium
sample_3         benign           low              never            heavy            low
sample_4         malignant        low              occasionally     heavy            heavy
sample_5         malignant        none             never            medium           low
sample_6         malignant        low              never            heavy            low
sample_7         malignant        medium           occasionally     heavy            heavy
sample_8         benign           medium           regularly        light            heavy
sample_9         malignant        none             never            light            medium
sample_10        benign           heavy            regularly        medium           low
sample_11        benign           none             regularly        medium           heavy
sample_12        benign           heavy            regularly        medium           medium
sample_13        malignant        none             occasionally     heavy            low
sample_14        malignant        low              never            heavy            medium
sample_15        malignant        low              occasionally     medium           heavy
sample_16        malignant        heavy            never            heavy            heavy
sample_17        benign           low              regularly        light            medium
sample_18        malignant        heavy            occasionally     heavy            low
sample_19        malignant        heavy            never            heavy            heavy
sample_20        malignant        low              occasionally     medium           heavy
sample_21        benign           none             never            light            medium
sample_22        benign           medium           regularly        heavy            heavy
sample_23        malignant        heavy            occasionally     never            heavy
sample_24        benign           low              regularly        heavy            low
sample_25        benign           medium           regularly        light            heavy
sample_26        malignant        none             occasionally     heavy            heavy
sample_27        malignant        heavy            never            heavy            heavy
sample_28        malignant        none             occasionally     heavy            low
sample_29        benign           none             regularly        heavy            low
sample_30        benign           heavy            regularly        never            low
sample_31        benign           low              regularly        medium           low
sample_32        malignant        low              occasionally     heavy            low
sample_33        malignant        none             never            heavy            medium
sample_34        malignant        low              regularly        heavy            heavy
sample_35        malignant        medium           occasionally     never            medium
sample_36        benign           medium           never            light            medium
sample_37        malignant        medium           occasionally     light            low
sample_38        benign           low              never            light            heavy
sample_39        malignant        heavy            never            light            heavy
sample_40        malignant        heavy            regularly        never            heavy
sample_41        malignant        heavy            never            heavy            heavy
sample_42        malignant        heavy            never            medium           heavy
sample_43        benign           heavy            occasionally     never            medium
sample_44        benign           medium           regularly        light            heavy
sample_45        malignant        low              never            heavy            heavy
sample_46        benign           none             regularly        never            medium
sample_47        malignant        low              never            heavy            medium
sample_48        malignant        medium           occasionally     never            heavy
sample_49        malignant        heavy            never            heavy            heavy
sample_50        benign           medium           regularly        heavy            low
sample_51        benign           medium           regularly        never            medium
sample_52        benign           none             never            medium           medium
sample_53        benign           medium           never            medium           medium
sample_54        benign           heavy            occasionally     heavy            low
sample_55        malignant        none             occasionally     heavy            heavy
sample_56        benign           low              regularly        medium           medium
sample_57        malignant        medium           occasionally     heavy            heavy
sample_58        benign           heavy            never            heavy            medium
sample_59        benign           medium           regularly        never            low
sample_60        malignant        medium           never            heavy            heavy
sample_61        benign           none             occasionally     never            medium
sample_62        malignant        heavy            never            medium           heavy
sample_63        malignant        heavy            occasionally     heavy            heavy
sample_64        benign           low              never            light            low
sample_65        benign           medium           never            medium           low
sample_66        malignant        heavy            never            heavy            heavy
sample_67        malignant        none             occasionally     heavy            heavy
sample_68        malignant        medium           never            heavy            heavy
sample_69        malignant        none             never            heavy            heavy
sample_70        malignant        medium           never            heavy            heavy
sample_71        malignant        heavy            occasionally     heavy            low
sample_72        benign           heavy            regularly        medium           low
sample_73        benign           none             regularly        heavy            low
sample_74        benign           none             regularly        light            low
sample_75        benign           medium           regularly        heavy            low
sample_76        benign           heavy            never            medium           heavy
sample_77        malignant        low              occasionally     heavy            low
sample_78        malignant        low              never            heavy            heavy
sample_79        benign           heavy            regularly        medium           medium
sample_80        benign           none             regularly        light            heavy
sample_81        benign           none             regularly        light            medium
sample_82        malignant        none             occasionally     medium           heavy
sample_83        benign           heavy            regularly        never            low
sample_84        benign           low              never            never            low
sample_85        benign           none             regularly        light            medium
sample_86        malignant        medium           regularly        heavy            medium
sample_87        benign           none             regularly        light            low
sample_88        benign           medium           never            light            medium
sample_89        benign           none             regularly        medium           low
sample_90        benign           low              regularly        medium           low
sample_91        malignant        heavy            regularly        heavy            heavy
sample_92        benign           heavy            never            heavy            medium
sample_93        malignant        none             occasionally     heavy            low
sample_94        malignant        none             occasionally     heavy            medium
sample_95        malignant        none             never            heavy            heavy
sample_96        benign           low              regularly        heavy            low
sample_97        benign           medium           regularly        heavy            heavy
sample_98        malignant        none             never            heavy            heavy
sample_99        benign           heavy            never            light            medium
sample_100       benign           medium           regularly        medium           medium
sample_101       malignant        medium           occasionally     light            heavy
sample_102       malignant        medium           never            never            low
sample_103       benign           heavy            regularly        heavy            low
sample_104       benign           heavy            never            light            low
sample_105       malignant        medium           never            heavy            heavy
sample_106       malignant        heavy            never            heavy            medium
sample_107       benign           medium           regularly        heavy            medium
sample_108       benign           medium           regularly        never            low
sample_109       malignant        heavy            never            light            heavy
sample_110       benign           medium           regularly        heavy            low
sample_111       benign           none             occasionally     never            medium
sample_112       malignant        heavy            never            heavy            heavy
sample_113       benign           medium           regularly        medium           low
sample_114       malignant        low              occasionally     medium           heavy
sample_115       benign           medium           regularly        medium           medium
sample_116       malignant        low              never            heavy            heavy
sample_117       malignant        low              never            heavy            medium
sample_118       malignant        medium           never            heavy            heavy
sample_119       malignant        medium           occasionally     never            heavy
sample_120       benign           low              regularly        never            heavy
